ISIN Code,Outstanding Amount,Stock Code,Stock Description,Issuer,Instrument,Issue Date,Maturity Date,Rating MARC,Rating RAM
MYBDH0500105,0.00,DH050010,TRACOMA 0.00000% 28.01.2009 SN,TRACOMA,IBONDS,28/01/2005,28/01/2009,N/A,N/A
MYBDH0500170,0.00,DH050017,TRACOMA 0.00000% 28.07.2008 SN,TRACOMA,IBONDS,28/01/2005,28/07/2008,N/A,N/A
MYBDH0500188,0.00,DH050018,TRACOMA 0.00000% 28.01.2009 SN,TRACOMA,IBONDS,28/01/2005,28/01/2009,N/A,N/A
MYBDH0516515,32089585.06,DH051651,MTSB 0% 28.10.2008,MTSB,IBONDS,28/10/2005,28/10/2008,N/A,A2
MYBDH0516598,0.00,DH051659,MTSB 0% 28.10.2008 SN,MTSB,IBONDS,28/10/2005,28/10/2008,N/A,N/A
MYBDH0516606,0.00,DH051660,MTSB 0% 28.04.2009 SN,MTSB,IBONDS,28/10/2005,28/04/2009,N/A,N/A
MYBDH0516739,0.00,DH051673,MTSB 0% 28.10.2008 SN,MTSB,IBONDS,28/10/2005,28/10/2008,N/A,N/A
MYBDH0516747,0.00,DH051674,MTSB 0% 28.04.2009 SN,MTSB,IBONDS,28/10/2005,28/04/2009,N/A,N/A
MYBDH0516853,0.00,DH051685,MTSB 0% 28.10.2008 SN,MTSB,IBONDS,28/10/2005,28/10/2008,N/A,N/A
MYBDH0516861,0.00,DH051686,MTSB 0% 28.04.2009 SN,MTSB,IBONDS,28/10/2005,28/04/2009,N/A,N/A
MYBDH0516952,0.00,DH051695,MTSB 0% 28.10.2008 SN,MTSB,IBONDS,28/10/2005,28/10/2008,N/A,N/A
MYBDH0516960,0.00,DH051696,MTSB 0% 28.04.2009 SN,MTSB,IBONDS,28/10/2005,28/04/2009,N/A,N/A
MYBDH0517034,0.00,DH051703,MTSB 0% 28.10.2008 SN,MTSB,IBONDS,28/10/2005,28/10/2008,N/A,N/A
MYBDH0519428,0.00,DH051942,SDEB 0% 09.12.2008 SN,SDEB,IBONDS,09/12/2005,09/12/2008,N/A,N/A
MYBDH0519436,0.00,DH051943,SDEB 0% 09.06.2009 SN,SDEB,IBONDS,09/12/2005,09/06/2009,N/A,N/A
MYBDH0522158,0.00,DH052215,SDEB 0% 09.12.2008 SN,SDEB,IBONDS,09/12/2005,09/12/2008,N/A,N/A
MYBDH0522166,0.00,DH052216,SDEB 0% 09.06.2009 SN,SDEB,IBONDS,09/12/2005,09/06/2009,N/A,N/A
MYBDH0522505,0.00,DH052250,SDEB 0% 09.12.2008 SN,SDEB,IBONDS,09/12/2005,09/12/2008,N/A,N/A
MYBDH0522513,0.00,DH052251,SDEB 0% 09.06.2009 SN,SDEB,IBONDS,09/12/2005,09/06/2009,N/A,N/A
MYBDH0522844,0.00,DH052284,SDEB 0% 09.12.2008 SN,SDEB,IBONDS,09/12/2005,09/12/2008,N/A,N/A
